season,game_date,home_team,away_team,pitch_type_counts,speed_bucket_counts,avg_release_speed,max_release_speed,total_pitches
2023,2023-08-12,MIA,NYY,"{'CH': 64, 'SI': 61, 'FF': 42, 'SL': 40, 'ST': 23, 'KC': 6, 'CU': 2}","{'90-100': 164, '80-90': 73, '<80': 1}",92.0235294117647,99.5,238
2023,2023-08-12,NYM,ATL,"{'FF': 263, 'SL': 106, 'CH': 101, 'SI': 66, 'FA': 37, 'FC': 34, 'CU': 24, 'FS': 17, 'ST': 14, 'SV': 8, 'EP': 7}","{'80-90': 309, '90-100': 255, '<80': 113}",86.58375184638109,98.7,677
2023,2023-08-12,PHI,MIN,"{'FF': 92, 'SI': 57, 'SL': 54, 'ST': 35, 'FS': 31, 'CU': 26, 'FC': 19, 'CH': 12}","{'80-90': 171, '90-100': 145, '<80': 10}",89.65184049079754,99.7,326
2023,2023-08-12,SEA,BAL,"{'FF': 114, 'SI': 36, 'SL': 30, 'KC': 25, 'CH': 25, 'FS': 19, 'FC': 13, 'ST': 3, 'CU': 2}","{'90-100': 144, '80-90': 100, '100+': 21, '<80': 2}",92.30149812734082,102.4,267
2023,2023-08-12,SF,TEX,"{'SI': 94, 'SL': 68, 'FF': 56, 'FS': 40, 'CH': 37, 'KC': 17, 'CU': 5}","{'80-90': 176, '90-100': 139, '<80': 2}",88.60157728706625,96.8,317
2023,2023-08-12,TB,CLE,"{'FF': 105, 'SI': 59, 'FC': 47, 'SL': 39, 'CU': 26, 'CH': 22, 'FS': 7, 'ST': 7}","{'90-100': 158, '80-90': 108, '<80': 37, '100+': 9}",89.87628205128206,102.8,312
2023,2023-08-12,TOR,CHC,"{'FF': 103, 'SI': 70, 'SL': 58, 'FC': 23, 'CU': 22, 'ST': 18, 'FS': 10, 'CH': 6}","{'90-100': 171, '80-90': 105, '<80': 26, '100+': 8}",89.27258064516128,102.1,310
2023,2023-08-12,WSH,OAK,"{'FF': 85, 'SI': 68, 'SL': 57, 'CU': 43, 'CH': 26, 'FS': 8, 'FC': 1}","{'90-100': 159, '80-90': 120, '<80': 9}",90.47777777777777,99.8,288
2023,2023-08-13,AZ,SD,"{'FF': 107, 'CH': 49, 'CU': 49, 'ST': 42, 'SL': 27, 'SI': 27, 'FC': 9}","{'80-90': 142, '90-100': 141, '<80': 27}",88.18903225806451,98.4,310
2023,2023-08-13,BOS,DET,"{'FF': 96, 'FC': 51, 'SI': 33, 'KC': 22, 'CH': 22, 'SL': 21, 'ST': 14, 'FS': 7, 'CU': 2}","{'90-100': 152, '80-90': 105, '<80': 11}",89.69626865671641,97.5,268
2023,2023-08-13,CWS,MIL,"{'SL': 109, 'FF': 88, 'SI': 48, 'CH': 20, 'CU': 16, 'ST': 13, 'KC': 11, 'SC': 2, 'FC': 2}","{'80-90': 151, '90-100': 134, '<80': 20, '100+': 4}",88.82006472491909,100.4,309
